# controller=ema_alpha005
# filter=EMA
# alpha=0.05
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0443,21.712,-24.561,-24.561,-12.178,-12.023,33.736,0.000,0.000,0.000,0.000,0.000,0.000
0.0943,18.489,-22.408,-22.408,-12.178,-12.023,30.513,0.000,0.000,0.000,0.000,0.000,0.000
0.1454,20.276,-20.274,-20.274,-12.179,-12.023,32.300,0.000,0.000,0.000,0.000,0.000,0.000
0.1944,20.739,-18.223,-18.223,-12.180,-12.023,32.762,0.000,0.000,0.000,0.000,0.000,0.000
0.2443,18.452,-16.390,-16.390,-12.180,-12.023,30.475,0.000,0.000,0.000,0.000,0.000,0.000
0.2943,20.679,-14.536,-14.536,-12.180,-12.023,32.702,0.000,0.000,0.000,0.000,0.000,0.000
0.3444,18.807,-12.869,-12.869,-12.180,-12.023,30.830,0.000,0.000,0.000,0.000,0.000,0.000
0.3954,18.551,-11.298,-11.298,-12.180,-12.023,30.574,0.000,0.000,0.000,0.000,0.000,0.000
0.4444,21.769,-9.645,-9.645,-12.180,-12.023,33.793,0.000,0.000,0.000,0.000,0.000,0.000
0.4944,20.500,-8.138,-8.138,-12.180,-12.023,32.523,0.000,0.000,0.000,0.000,0.000,0.000
0.5444,19.683,-6.746,-6.746,-12.179,-12.023,31.707,0.000,0.000,0.000,0.000,0.000,0.000
0.5944,18.497,-5.484,-5.484,-12.179,-12.023,30.520,0.000,0.000,0.000,0.000,0.000,0.000
0.6444,18.162,-4.302,-4.302,-12.178,-12.023,30.186,0.000,0.000,0.000,0.000,0.000,0.000
0.6944,21.912,-2.991,-2.991,-12.177,-12.023,33.936,0.000,0.000,0.000,0.000,0.000,0.000
0.7444,19.305,-1.876,-1.876,-12.176,-12.023,31.329,0.000,0.000,0.000,0.000,0.000,0.000
0.7952,19.179,-0.824,-0.824,-12.176,-12.023,31.203,0.000,0.000,0.000,0.000,0.000,0.000
0.8442,21.838,0.309,0.309,-12.175,-12.023,33.861,0.000,0.000,0.000,0.000,0.000,0.000
0.8944,18.755,1.232,1.232,-12.174,-12.023,30.779,0.000,0.000,0.000,0.000,0.000,0.000
0.9444,19.005,2.120,2.120,-12.172,-12.023,31.028,0.000,0.000,0.000,0.000,0.000,0.000
0.9943,20.447,3.037,3.037,-12.171,-12.023,32.470,0.000,0.000,0.000,0.000,0.000,0.000
1.0444,18.014,3.786,3.786,-12.170,-12.023,30.037,0.000,0.000,0.000,0.000,0.000,0.000
1.0944,19.663,4.579,4.579,-12.169,-12.023,31.686,0.000,0.000,0.000,0.000,0.000,0.000
1.1453,21.354,5.418,5.418,-12.167,-12.023,33.377,0.000,0.000,0.000,0.000,0.000,0.000
