# controller=ema_alpha005
# filter=EMA
# alpha=0.05
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0455,1.441,-3.648,-3.915,5.939,5.279,-3.838,0.000,0.000,0.000,0.000,0.000,0.000
0.0956,2.933,-3.318,-3.318,5.938,5.572,-2.638,0.000,0.000,0.000,0.000,0.000,0.000
0.1445,4.929,-2.906,-3.318,5.934,5.279,-0.350,0.000,0.000,0.000,0.000,0.000,0.000
0.1955,4.099,-2.556,-2.556,5.933,5.279,-1.179,0.000,0.000,0.000,0.000,0.000,0.000
0.2456,4.535,-2.201,-2.556,5.928,5.279,-0.744,0.000,0.000,0.000,0.000,0.000,0.000
0.2955,3.116,-1.935,-1.935,5.928,5.572,-2.456,0.000,0.000,0.000,0.000,0.000,0.000
0.3446,2.654,-1.706,-1.935,5.924,5.572,-2.918,0.000,0.000,0.000,0.000,0.000,0.000
0.3955,1.598,-1.541,-1.935,5.913,5.279,-3.681,0.000,0.000,0.000,0.000,0.000,0.000
0.4456,2.689,-1.329,-1.329,5.912,5.572,-2.883,0.000,0.000,0.000,0.000,0.000,0.000
0.4956,4.299,-1.048,-1.329,5.909,5.572,-1.273,0.000,0.000,0.000,0.000,0.000,0.000
0.5456,3.246,-0.833,-1.329,5.899,5.279,-2.033,0.000,0.000,0.000,0.000,0.000,0.000
0.5955,4.320,-0.576,-0.576,5.898,5.572,-1.252,0.000,0.000,0.000,0.000,0.000,0.000
0.6456,5.305,-0.282,-0.576,5.895,5.279,0.026,0.000,0.000,0.000,0.000,0.000,0.000
0.6956,3.585,-0.088,-0.576,5.886,5.279,-1.693,0.000,0.000,0.000,0.000,0.000,0.000
0.7455,5.386,0.186,0.186,5.885,5.572,-0.186,0.000,0.000,0.000,0.000,0.000,0.000
0.7955,3.789,0.366,0.186,5.882,5.572,-1.782,0.000,0.000,0.000,0.000,0.000,0.000
0.8465,4.750,0.585,0.186,5.875,5.279,-0.529,0.000,0.000,0.000,0.000,0.000,0.000
0.8955,6.243,0.868,0.868,5.874,5.279,0.965,0.000,0.000,0.000,0.000,0.000,0.000
0.9456,7.922,1.221,0.868,5.872,5.279,2.644,0.000,0.000,0.000,0.000,0.000,0.000
0.9954,7.862,1.553,1.553,5.871,5.279,2.583,0.000,0.000,0.000,0.000,0.000,0.000
1.0454,9.246,1.937,1.553,5.869,5.572,3.675,0.000,0.000,0.000,0.000,0.000,0.000
1.0954,8.417,2.261,2.261,5.869,5.279,3.139,0.000,0.000,0.000,0.000,0.000,0.000
1.1454,7.695,2.533,2.261,5.867,5.279,2.416,0.000,0.000,0.000,0.000,0.000,0.000
1.1955,9.556,2.884,2.884,5.867,5.572,3.984,0.000,0.000,0.000,0.000,0.000,0.000
1.2454,10.151,3.247,2.884,5.865,5.279,4.872,0.000,0.000,0.000,0.000,0.000,0.000
1.2954,10.050,3.588,3.588,5.865,5.279,4.772,0.000,0.000,0.000,0.000,0.000,0.000
1.3454,8.315,3.824,3.588,5.864,5.279,3.037,0.000,0.000,0.000,0.000,0.000,0.000
1.3954,9.250,4.095,4.095,5.864,5.279,3.971,0.000,0.000,0.000,0.000,0.000,0.000
1.4455,9.732,4.377,4.095,5.863,5.572,4.160,0.000,0.000,0.000,0.000,0.000,0.000
1.4955,9.010,4.609,4.609,5.863,5.572,3.438,0.000,0.000,0.000,0.000,0.000,0.000
1.5456,10.812,4.919,4.609,5.862,5.279,5.533,0.000,0.000,0.000,0.000,0.000,0.000
1.5954,8.987,5.122,5.122,5.862,5.572,3.415,0.000,0.000,0.000,0.000,0.000,0.000
1.6454,9.160,5.324,5.122,5.861,5.279,3.881,0.000,0.000,0.000,0.000,0.000,0.000
1.6954,9.815,5.549,5.122,5.860,5.279,4.536,0.000,0.000,0.000,0.000,0.000,0.000
1.7454,10.071,5.775,5.775,5.860,5.279,4.793,0.000,0.000,0.000,0.000,0.000,0.000
1.7955,8.115,5.892,5.775,5.860,5.279,2.837,0.000,0.000,0.000,0.000,0.000,0.000
1.8455,8.611,6.028,5.775,5.860,5.279,3.333,0.000,0.000,0.000,0.000,0.000,0.000
1.8955,7.045,6.079,5.775,5.860,5.279,1.766,0.000,0.000,0.000,0.000,0.000,0.000
1.9454,6.936,6.122,5.775,5.860,5.279,1.658,0.000,0.000,0.000,0.000,0.000,0.000
