# controller=ema_alpha02
# filter=EMA
# alpha=0.2
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0130,-60.000,-12.000,-12.000,-0.182,-0.880,-59.120,0.000,0.000,0.000,0.000,0.000,0.000
0.0641,-59.700,-21.540,-21.540,-0.184,-0.880,-58.820,0.000,0.000,0.000,0.000,0.000,0.000
0.1143,-59.400,-29.112,-29.112,-0.186,-0.880,-58.520,0.000,0.000,0.000,0.000,0.000,0.000
0.1632,-59.100,-35.110,-35.110,-0.189,-0.880,-58.220,0.000,0.000,0.000,0.000,0.000,0.000
0.2142,-58.800,-39.848,-39.848,-0.192,-0.880,-57.920,0.000,0.000,0.000,0.000,0.000,0.000
0.2643,-58.500,-43.578,-43.578,-0.195,-0.880,-57.620,0.000,0.000,0.000,0.000,0.000,0.000
0.3142,-58.200,-46.503,-46.503,-0.199,-0.880,-57.320,0.000,0.000,0.000,0.000,0.000,0.000
0.3643,-57.900,-48.782,-48.782,-0.203,-0.880,-57.020,0.000,0.000,0.000,0.000,0.000,0.000
0.4142,-57.600,-50.546,-50.546,-0.207,-0.880,-56.720,0.000,0.000,0.000,0.000,0.000,0.000
0.4642,-57.300,-51.896,-51.896,-0.211,-0.880,-56.420,0.000,0.000,0.000,0.000,0.000,0.000
0.5143,-57.000,-52.917,-52.917,-0.215,-0.880,-56.120,0.000,0.000,0.000,0.000,0.000,0.000
0.5632,-56.700,-53.674,-53.674,-0.219,-0.880,-55.820,0.000,0.000,0.000,0.000,0.000,0.000
0.6141,-56.400,-54.219,-54.219,-0.223,-0.880,-55.520,0.000,0.000,0.000,0.000,0.000,0.000
0.6632,-56.100,-54.595,-54.219,-0.251,-0.880,-55.220,0.000,0.000,0.000,0.000,0.000,0.000
0.7141,-55.800,-54.836,-54.836,-0.256,-0.880,-54.920,0.000,0.000,0.000,0.000,0.000,0.000
0.7641,-55.500,-54.969,-54.836,-0.284,-0.880,-54.620,0.000,0.000,0.000,0.000,0.000,0.000
0.8142,-55.200,-55.015,-54.836,-0.359,-0.880,-54.320,0.000,0.000,0.000,0.000,0.000,0.000
0.8643,-54.900,-54.992,-54.836,-0.498,-0.880,-54.020,0.000,0.000,0.000,0.000,0.000,0.000
0.9142,-54.600,-54.914,-54.836,-0.719,-0.880,-53.720,0.000,0.000,0.000,0.000,0.000,0.000
0.9642,-54.300,-54.791,-54.836,-1.033,-0.880,-53.420,0.000,0.000,0.000,0.000,0.000,0.000
1.0141,-54.000,-54.633,-54.836,-1.452,-0.880,-53.120,0.000,0.000,0.000,0.000,0.000,0.000
1.0631,-53.700,-54.446,-54.836,-1.985,-1.466,-52.234,0.000,0.000,0.000,0.000,0.293,-0.293
1.1141,-53.400,-54.237,-54.237,-1.989,-2.346,-51.054,0.000,0.000,0.000,0.000,0.000,0.000
1.1641,-53.100,-54.010,-54.237,-2.016,-2.346,-50.754,0.000,0.000,0.000,0.000,0.000,0.000
1.2141,-52.800,-53.768,-54.237,-2.088,-2.346,-50.454,0.000,0.000,0.000,0.000,0.000,0.000
1.2642,-52.500,-53.514,-53.514,-2.092,-2.346,-50.154,0.000,0.000,0.000,0.000,0.000,0.000
1.3142,-52.200,-53.251,-53.514,-2.119,-2.346,-49.854,0.000,0.000,0.000,0.000,0.000,0.000
1.3632,-51.900,-52.981,-52.981,-2.123,-2.346,-49.554,0.000,0.000,0.000,0.000,0.000,0.000
1.4141,-51.600,-52.705,-52.981,-2.149,-2.346,-49.254,0.000,0.000,0.000,0.000,0.000,0.000
1.4651,-51.300,-52.424,-52.424,-2.153,-2.346,-48.954,0.000,0.000,0.000,0.000,0.000,0.000
1.5141,-51.000,-52.139,-52.424,-2.180,-2.346,-48.654,0.000,0.000,0.000,0.000,0.000,0.000
1.5631,-50.700,-51.851,-51.851,-2.184,-2.346,-48.354,0.000,0.000,0.000,0.000,0.000,0.000
1.6142,-50.400,-51.561,-51.851,-2.210,-2.346,-48.054,0.000,0.000,0.000,0.000,0.000,0.000
1.6642,-50.100,-51.269,-51.269,-2.213,-2.346,-47.754,0.000,0.000,0.000,0.000,0.000,0.000
