# controller=ema_alpha02
# filter=EMA
# alpha=0.2
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0285,0.000,46.800,46.800,-1.521,-2.053,2.053,0.000,0.000,0.000,0.000,0.000,0.000
0.0786,1.000,37.640,37.640,-1.518,-2.053,3.053,0.000,0.000,0.000,0.000,0.000,0.000
0.1295,1.999,30.512,30.512,-1.515,-2.053,4.052,0.000,0.000,0.000,0.000,0.000,0.000
0.1784,2.997,25.009,25.009,-1.513,-2.053,5.050,0.000,0.000,0.000,0.000,0.000,0.000
0.2295,3.993,20.806,20.806,-1.512,-2.053,6.046,0.000,0.000,0.000,0.000,0.000,0.000
0.2795,4.987,17.642,17.642,-1.510,-2.053,7.040,0.000,0.000,0.000,0.000,0.000,0.000
0.3285,5.978,15.309,15.309,-1.509,-2.053,8.030,0.000,0.000,0.000,0.000,0.000,0.000
0.3785,6.964,13.640,13.640,-1.508,-2.053,9.017,0.000,0.000,0.000,0.000,0.000,0.000
0.4295,7.947,12.501,12.501,-1.506,-2.053,10.000,0.000,0.000,0.000,0.000,0.000,0.000
0.4785,8.924,11.786,11.786,-1.505,-2.053,10.977,0.000,0.000,0.000,0.000,0.000,0.000
0.5295,9.896,11.408,11.786,-1.498,-2.053,11.949,0.000,0.000,0.000,0.000,0.000,0.000
0.5786,10.862,11.299,11.786,-1.480,-2.053,12.915,0.000,0.000,0.000,0.000,0.000,0.000
0.6285,11.821,11.403,11.786,-1.446,-2.053,13.874,0.000,0.000,0.000,0.000,0.000,0.000
0.6784,12.772,11.677,11.786,-1.393,-2.053,14.825,0.000,0.000,0.000,0.000,0.000,0.000
0.7294,13.716,12.085,11.786,-1.316,-2.053,15.769,0.000,0.000,0.000,0.000,0.000,0.000
0.7794,14.651,12.598,12.598,-1.315,-2.053,16.704,0.000,0.000,0.000,0.000,0.000,0.000
0.8284,15.577,13.194,13.194,-1.314,-2.053,17.630,0.000,0.000,0.000,0.000,0.000,0.000
0.8793,16.493,13.854,13.854,-1.313,-2.053,18.546,0.000,0.000,0.000,0.000,0.000,0.000
0.9294,17.399,14.563,14.563,-1.312,-2.053,19.451,0.000,0.000,0.000,0.000,0.000,0.000
0.9785,18.294,15.309,15.309,-1.310,-2.053,20.346,0.000,0.000,0.000,0.000,0.000,0.000
1.0284,19.177,16.082,16.082,-1.309,-2.053,21.230,0.000,0.000,0.000,0.000,0.000,0.000
1.0785,20.049,16.876,16.876,-1.307,-2.053,22.101,0.000,0.000,0.000,0.000,0.000,0.000
1.1297,20.907,17.682,17.682,-1.306,-2.053,22.960,0.000,0.000,0.000,0.000,0.000,0.000
1.1786,21.753,18.496,18.496,-1.304,-2.053,23.806,0.000,0.000,0.000,0.000,0.000,0.000
1.2295,22.586,19.314,19.314,-1.303,-2.053,24.638,0.000,0.000,0.000,0.000,0.000,0.000
1.2795,23.404,20.132,20.132,-1.301,-2.053,25.457,0.000,0.000,0.000,0.000,0.000,0.000
1.3283,24.207,20.947,20.947,-1.299,-2.053,26.260,0.000,0.000,0.000,0.000,0.000,0.000
1.3785,24.996,21.757,21.757,-1.298,-2.053,27.049,0.000,0.000,0.000,0.000,0.000,0.000
1.4295,25.769,22.559,22.559,-1.296,-2.053,27.821,0.000,0.000,0.000,0.000,0.000,0.000
1.4795,26.525,23.353,23.353,-1.294,-2.053,28.578,0.000,0.000,0.000,0.000,0.000,0.000
1.5295,27.266,24.135,24.135,-1.292,-2.053,29.318,0.000,0.000,0.000,0.000,0.000,0.000
1.5785,27.989,24.906,24.906,-1.290,-2.053,30.041,0.000,0.000,0.000,0.000,0.000,0.000
1.6285,28.694,25.664,25.664,-1.288,-1.760,30.454,0.000,0.000,0.000,0.000,0.000,0.000
1.6784,29.382,26.407,26.407,-1.286,-2.053,31.435,0.000,0.000,0.000,0.000,0.000,0.000
1.7295,30.051,27.136,27.136,-1.283,-2.053,32.104,0.000,0.000,0.000,0.000,0.000,0.000
1.7784,30.702,27.849,27.849,-1.281,-2.053,32.755,0.000,0.000,0.000,0.000,0.000,0.000
1.8284,31.333,28.546,28.546,-1.279,-2.053,33.386,0.000,0.000,0.000,0.000,0.000,0.000
1.8794,31.945,29.226,29.226,-1.277,-2.053,33.998,0.000,0.000,0.000,0.000,0.000,0.000
1.9295,32.537,29.888,29.888,-1.274,-2.053,34.589,0.000,0.000,0.000,0.000,0.000,0.000
1.9787,33.108,30.532,30.532,-1.272,-2.053,35.161,0.000,0.000,0.000,0.000,0.000,0.000
2.0284,33.659,31.157,31.157,-1.269,-2.053,35.712,0.000,0.000,0.000,0.000,0.000,0.000
2.0784,34.189,31.764,31.764,-1.267,-2.053,36.241,0.000,0.000,0.000,0.000,0.000,0.000
2.1296,34.697,32.350,32.350,-1.264,-2.053,36.750,0.000,0.000,0.000,0.000,0.000,0.000
2.1794,35.184,32.917,32.917,-1.261,-2.053,37.236,0.000,0.000,0.000,0.000,0.000,0.000
2.2285,35.648,33.463,33.463,-1.259,-2.053,37.701,0.000,0.000,0.000,0.000,0.000,0.000
