# controller=kalman_q0015_r50
# filter_type=KALMAN
# process_noise_Q=0.015
# measurement_noise_R=5.0
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0479,19.687,45.649,45.649,16.744,16.129,3.558,0.000,0.000,0.000,0.000,0.000,0.000
0.0980,20.921,44.331,44.331,16.746,16.129,4.792,0.000,0.000,0.000,0.000,0.000,0.000
0.1481,21.184,43.098,43.098,16.748,16.129,5.055,0.000,0.000,0.000,0.000,0.000,0.000
0.1979,20.201,41.878,41.878,16.750,16.129,4.072,0.000,0.000,0.000,0.000,0.000,0.000
0.2479,18.508,40.632,40.632,16.752,16.129,2.379,0.000,0.000,0.000,0.000,0.000,0.000
0.2981,18.353,39.445,39.445,16.754,16.129,2.224,0.000,0.000,0.000,0.000,0.000,0.000
0.3480,21.207,38.473,38.473,16.756,16.129,5.078,0.000,0.000,0.000,0.000,0.000,0.000
0.3979,21.408,37.563,37.563,16.757,16.129,5.279,0.000,0.000,0.000,0.000,0.000,0.000
0.4480,19.206,36.585,36.585,16.759,16.129,3.077,0.000,0.000,0.000,0.000,0.000,0.000
0.4991,19.224,35.660,35.660,16.760,16.129,3.095,0.000,0.000,0.000,0.000,0.000,0.000
0.5481,19.069,34.776,34.776,16.762,16.129,2.940,0.000,0.000,0.000,0.000,0.000,0.000
0.5981,21.467,34.066,34.066,16.763,16.129,5.338,0.000,0.000,0.000,0.000,0.000,0.000
0.6479,19.634,33.297,33.297,16.764,16.129,3.505,0.000,0.000,0.000,0.000,0.000,0.000
0.6981,18.958,32.533,32.533,16.765,16.129,2.829,0.000,0.000,0.000,0.000,0.000,0.000
0.7479,19.833,31.856,31.856,16.767,16.129,3.704,0.000,0.000,0.000,0.000,0.000,0.000
0.7979,19.016,31.172,31.172,16.768,16.129,2.886,0.000,0.000,0.000,0.000,0.000,0.000
0.8480,20.783,30.618,30.618,16.769,16.129,4.654,0.000,0.000,0.000,0.000,0.000,0.000
0.8981,18.653,29.981,29.981,16.770,16.129,2.524,0.000,0.000,0.000,0.000,0.000,0.000
0.9480,18.773,29.383,29.383,16.771,16.129,2.644,0.000,0.000,0.000,0.000,0.000,0.000
0.9991,18.373,28.797,28.797,16.772,16.129,2.244,0.000,0.000,0.000,0.000,0.000,0.000
1.0479,19.034,28.276,28.276,16.773,16.129,2.905,0.000,0.000,0.000,0.000,0.000,0.000
1.0981,20.318,27.852,28.276,16.779,16.129,4.189,0.000,0.000,0.000,0.000,0.000,0.000
1.1479,20.494,27.460,27.460,16.779,16.129,4.365,0.000,0.000,0.000,0.000,0.000,0.000
1.1980,18.963,27.007,27.460,16.785,16.129,2.834,0.000,0.000,0.000,0.000,0.000,0.000
1.2481,20.985,26.686,26.686,16.786,16.129,4.856,0.000,0.000,0.000,0.000,0.000,0.000
1.2981,19.740,26.316,26.686,16.791,16.129,3.611,0.000,0.000,0.000,0.000,0.000,0.000
1.3480,18.444,25.897,25.897,16.792,16.129,2.315,0.000,0.000,0.000,0.000,0.000,0.000
1.3981,19.873,25.576,25.897,16.797,16.129,3.744,0.000,0.000,0.000,0.000,0.000,0.000
1.4481,19.457,25.250,25.250,16.797,16.129,3.328,0.000,0.000,0.000,0.000,0.000,0.000
1.4980,18.317,24.880,25.250,16.802,16.129,2.188,0.000,0.000,0.000,0.000,0.000,0.000
1.5480,21.605,24.706,24.706,16.802,16.129,5.476,0.000,0.000,0.000,0.000,0.000,0.000
1.5981,20.341,24.473,24.706,16.806,16.129,4.212,0.000,0.000,0.000,0.000,0.000,0.000
