# controller=kalman_q0015_r50
# filter_type=KALMAN
# process_noise_Q=0.015
# measurement_noise_R=5.0
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0478,-60.000,-3.433,-3.433,4.777,4.399,-64.399,0.000,0.000,0.000,0.000,0.000,0.000
0.0979,-59.700,-6.432,-6.432,4.776,4.399,-64.099,0.000,0.000,0.000,0.000,0.000,0.000
0.1478,-59.400,-9.255,-9.255,4.775,4.399,-63.799,0.000,0.000,0.000,0.000,0.000,0.000
0.1979,-59.100,-11.911,-11.911,4.774,4.399,-63.499,0.000,0.000,0.000,0.000,0.000,0.000
0.2478,-58.800,-14.410,-14.410,4.772,4.399,-63.199,0.000,0.000,0.000,0.000,0.000,0.000
0.2978,-58.500,-16.760,-16.760,4.771,4.399,-62.899,0.000,0.000,0.000,0.000,0.000,0.000
0.3476,-58.200,-18.968,-18.968,4.769,4.399,-62.599,0.000,0.000,0.000,0.000,0.000,0.000
0.3977,-57.900,-21.043,-21.043,4.767,4.399,-62.299,0.000,0.000,0.000,0.000,0.000,0.000
0.4477,-57.600,-22.991,-22.991,4.765,4.399,-61.999,0.000,0.000,0.000,0.000,0.000,0.000
0.4978,-57.300,-24.820,-24.820,4.762,4.399,-61.699,0.000,0.000,0.000,0.000,0.000,0.000
0.5479,-57.000,-26.534,-26.534,4.760,4.399,-61.399,0.000,0.000,0.000,0.000,0.000,0.000
0.5978,-56.700,-28.142,-28.142,4.757,4.399,-61.099,0.000,0.000,0.000,0.000,0.000,0.000
0.6478,-56.400,-29.648,-29.648,4.755,4.399,-60.799,0.000,0.000,0.000,0.000,0.000,0.000
0.6978,-56.100,-31.058,-31.058,4.752,4.399,-60.499,0.000,0.000,0.000,0.000,0.000,0.000
0.7480,-55.800,-32.376,-32.376,4.749,4.399,-60.199,0.000,0.000,0.000,0.000,0.000,0.000
0.7980,-55.500,-33.609,-33.609,4.746,4.399,-59.899,0.000,0.000,0.000,0.000,0.000,0.000
0.8478,-55.200,-34.759,-34.759,4.743,4.399,-59.599,0.000,0.000,0.000,0.000,0.000,0.000
0.8978,-54.900,-35.833,-35.833,4.740,4.399,-59.299,0.000,0.000,0.000,0.000,0.000,0.000
0.9478,-54.600,-36.833,-36.833,4.737,4.399,-58.999,0.000,0.000,0.000,0.000,0.000,0.000
0.9978,-54.300,-37.764,-37.764,4.733,4.399,-58.699,0.000,0.000,0.000,0.000,0.000,0.000
1.0478,-54.000,-38.629,-38.629,4.730,4.399,-58.399,0.000,0.000,0.000,0.000,0.000,0.000
1.0978,-53.700,-39.432,-39.432,4.727,4.399,-58.099,0.000,0.000,0.000,0.000,0.000,0.000
1.1478,-53.400,-40.177,-40.177,4.723,4.399,-57.799,0.000,0.000,0.000,0.000,0.000,0.000
1.1980,-53.100,-40.865,-40.865,4.720,4.399,-57.499,0.000,0.000,0.000,0.000,0.000,0.000
1.2478,-52.800,-41.501,-41.501,4.716,4.399,-57.199,0.000,0.000,0.000,0.000,0.000,0.000
1.2978,-52.500,-42.087,-42.087,4.712,4.399,-56.899,0.000,0.000,0.000,0.000,0.000,0.000
1.3478,-52.200,-42.626,-42.626,4.709,4.399,-56.599,0.000,0.000,0.000,0.000,0.000,0.000
1.3979,-51.900,-43.121,-42.626,4.684,4.399,-56.299,0.000,0.000,0.000,0.000,0.000,0.000
1.4478,-51.600,-43.572,-43.572,4.680,4.399,-55.999,0.000,0.000,0.000,0.000,0.000,0.000
1.4978,-51.300,-43.984,-43.572,4.655,4.399,-55.699,0.000,0.000,0.000,0.000,0.000,0.000
1.5480,-51.000,-44.358,-44.358,4.651,4.399,-55.399,0.000,0.000,0.000,0.000,0.000,0.000
1.5978,-50.700,-44.696,-44.358,4.625,4.399,-55.099,0.000,0.000,0.000,0.000,0.000,0.000
1.6478,-50.400,-45.000,-45.000,4.621,4.399,-54.799,0.000,0.000,0.000,0.000,0.000,0.000
1.6978,-50.100,-45.272,-45.000,4.595,4.399,-54.499,0.000,0.000,0.000,0.000,0.000,0.000
1.7479,-49.800,-45.513,-45.513,4.591,4.399,-54.199,0.000,0.000,0.000,0.000,0.000,0.000
