# controller=kalman_q0015_r50
# filter_type=KALMAN
# process_noise_Q=0.015
# measurement_noise_R=5.0
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0481,0.000,51.473,51.473,-10.327,-11.144,11.144,0.000,0.000,0.000,0.000,0.000,0.000
0.0982,1.000,48.783,48.783,-10.323,-11.144,12.144,0.000,0.000,0.000,0.000,0.000,0.000
0.1483,1.999,46.290,46.290,-10.318,-11.144,13.143,0.000,0.000,0.000,0.000,0.000,0.000
0.1982,2.997,43.983,43.983,-10.314,-11.144,14.141,0.000,0.000,0.000,0.000,0.000,0.000
0.2482,3.993,41.852,41.852,-10.310,-11.144,15.137,0.000,0.000,0.000,0.000,0.000,0.000
0.2983,4.987,39.887,39.887,-10.306,-11.144,16.131,0.000,0.000,0.000,0.000,0.000,0.000
0.3482,5.978,38.080,38.080,-10.302,-11.144,17.121,0.000,0.000,0.000,0.000,0.000,0.000
0.3984,6.964,36.422,36.422,-10.299,-11.144,18.108,0.000,0.000,0.000,0.000,0.000,0.000
0.4482,7.947,34.904,34.904,-10.295,-11.144,19.090,0.000,0.000,0.000,0.000,0.000,0.000
0.4981,8.924,33.520,33.520,-10.292,-11.144,20.068,0.000,0.000,0.000,0.000,0.000,0.000
0.5482,9.896,32.261,32.261,-10.289,-11.144,21.040,0.000,0.000,0.000,0.000,0.000,0.000
0.5983,10.862,31.120,31.120,-10.285,-11.144,22.006,0.000,0.000,0.000,0.000,0.000,0.000
0.6483,11.821,30.092,30.092,-10.282,-11.144,22.965,0.000,0.000,0.000,0.000,0.000,0.000
0.6982,12.772,29.169,29.169,-10.279,-10.850,23.623,0.000,0.000,0.000,0.000,0.000,0.000
0.7483,13.716,28.345,28.345,-10.276,-11.144,24.860,0.000,0.000,0.000,0.000,0.000,0.000
0.7982,14.651,27.615,27.615,-10.273,-11.144,25.795,0.000,0.000,0.000,0.000,0.000,0.000
0.8482,15.577,26.974,26.974,-10.270,-11.144,26.720,0.000,0.000,0.000,0.000,0.000,0.000
0.8982,16.493,26.415,26.415,-10.268,-11.144,27.637,0.000,0.000,0.000,0.000,0.000,0.000
0.9484,17.399,25.935,26.415,-10.248,-11.144,28.542,0.000,0.000,0.000,0.000,0.000,0.000
0.9984,18.294,25.528,25.528,-10.245,-10.850,29.144,0.000,0.000,0.000,0.000,0.000,0.000
1.0484,19.177,25.189,25.528,-10.227,-10.557,29.734,0.000,0.000,0.000,0.000,0.000,0.000
1.0982,20.049,24.915,24.915,-10.224,-10.557,30.606,0.000,0.000,0.000,0.000,0.293,-0.293
1.1483,20.907,24.702,24.915,-10.206,-10.557,31.465,0.000,0.000,0.000,0.000,0.000,0.000
1.1983,21.753,24.544,24.915,-10.157,-10.557,32.311,0.000,0.000,0.000,0.000,0.000,0.000
1.2484,22.586,24.440,24.915,-10.068,-10.557,33.143,0.000,0.000,0.000,0.000,0.000,0.000
1.2984,23.404,24.385,24.385,-10.065,-10.557,33.961,0.000,0.000,0.000,0.000,0.000,0.000
1.3484,24.207,24.375,24.385,-10.047,-10.557,34.765,0.000,0.000,0.000,0.000,0.000,0.000
1.3984,24.996,24.408,24.385,-10.000,-10.557,35.553,0.000,0.000,0.000,0.000,0.000,0.000
1.4484,25.769,24.481,24.385,-9.912,-10.557,36.326,0.000,0.000,0.000,0.000,0.000,0.000
1.4984,26.525,24.590,24.385,-9.773,-10.557,37.083,0.000,0.000,0.000,0.000,0.000,0.000
1.5483,27.266,24.732,24.385,-9.574,-10.557,37.823,0.000,0.000,0.000,0.000,0.000,0.000
1.5984,27.989,24.906,24.906,-9.572,-10.264,38.253,0.000,0.000,0.000,0.000,0.000,0.000
