# controller=kalman_q02_r10
# filter_type=KALMAN
# process_noise_Q=0.2
# measurement_noise_R=1.0
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0327,-0.435,-12.567,-12.567,-1.269,-1.760,1.325,0.000,0.000,0.000,0.000,0.000,0.000
0.0826,0.357,-7.937,-7.937,-1.270,-1.760,2.117,0.000,0.000,0.000,0.000,0.000,0.000
0.1326,-1.460,-5.616,-5.616,-1.270,-1.760,0.300,0.000,0.000,0.000,0.000,0.000,0.000
0.1823,-0.574,-3.810,-3.810,-1.270,-1.760,1.185,0.000,0.000,0.000,0.000,0.000,0.000
0.2325,-0.105,-2.483,-2.483,-1.270,-1.760,1.654,0.000,0.000,0.000,0.000,0.000,0.000
0.2826,0.187,-1.526,-1.526,-1.270,-1.760,1.946,0.000,0.000,0.000,0.000,0.000,0.000
0.3326,1.140,-0.571,-0.571,-1.270,-1.760,2.900,0.000,0.000,0.000,0.000,0.000,0.000
0.3826,2.777,0.628,0.628,-1.270,-1.760,4.536,0.000,0.000,0.000,0.000,0.000,0.000
0.4346,2.962,1.464,1.464,-1.270,-1.760,4.721,0.000,0.000,0.000,0.000,0.000,0.000
0.4826,1.650,1.531,1.464,-1.268,-1.760,3.410,0.000,0.000,0.000,0.000,0.000,0.000
0.5326,2.238,1.784,1.464,-1.265,-1.760,3.998,0.000,0.000,0.000,0.000,0.000,0.000
0.5816,1.518,1.689,1.464,-1.258,-1.760,3.278,0.000,0.000,0.000,0.000,0.000,0.000
0.6325,2.391,1.941,1.464,-1.247,-1.760,4.151,0.000,0.000,0.000,0.000,0.000,0.000
0.6826,3.152,2.374,2.374,-1.246,-1.760,4.911,0.000,0.000,0.000,0.000,0.000,0.000
0.7328,2.358,2.368,2.374,-1.245,-1.760,4.117,0.000,0.000,0.000,0.000,0.000,0.000
0.7826,2.133,2.284,2.374,-1.240,-1.760,3.892,0.000,0.000,0.000,0.000,0.000,0.000
0.8327,0.156,1.522,1.522,-1.239,-1.760,1.915,0.000,0.000,0.000,0.000,0.000,0.000
0.8828,-0.035,0.964,0.964,-1.239,-1.760,1.724,0.000,0.000,0.000,0.000,0.587,-0.587
0.9328,-1.991,-0.095,-0.095,-1.239,-1.760,-0.231,0.000,0.000,0.000,0.000,0.000,0.000
0.9826,-3.882,-1.452,-1.452,-1.239,-1.760,-2.123,0.000,0.000,0.000,0.000,0.000,0.000
1.0326,-4.364,-2.495,-2.495,-1.239,-1.760,-2.605,0.000,0.000,0.000,0.000,0.000,0.000
1.0826,-4.163,-3.093,-3.093,-1.239,-1.760,-2.404,0.000,0.000,0.000,0.000,0.000,0.000
1.1327,-2.547,-2.897,-3.093,-1.240,-1.760,-0.788,0.000,0.000,0.000,0.000,0.000,0.000
1.1826,-3.308,-3.044,-3.093,-1.243,-1.760,-1.548,0.000,0.000,0.000,0.000,0.000,0.000
1.2326,-1.913,-2.639,-3.093,-1.248,-1.760,-0.154,0.000,0.000,0.000,0.000,0.000,0.000
1.2827,-3.041,-2.783,-3.093,-1.255,-1.760,-1.282,0.000,0.000,0.000,0.000,0.000,0.000
1.3328,-2.100,-2.538,-2.538,-1.255,-1.760,-0.340,0.000,0.000,0.000,0.000,0.000,0.000
1.3827,-0.423,-1.780,-1.780,-1.255,-1.760,1.337,0.000,0.000,0.000,0.000,0.000,0.000
1.4327,-1.333,-1.620,-1.780,-1.256,-1.760,0.426,0.000,0.000,0.000,0.000,0.000,0.000
1.4828,-2.788,-2.038,-1.780,-1.256,-1.760,-1.028,0.000,0.000,0.000,0.000,0.000,0.000
1.5327,-3.888,-2.701,-2.701,-1.256,-1.760,-2.129,0.000,0.000,0.000,0.000,0.000,0.000
1.5827,-5.027,-3.534,-3.534,-1.257,-1.760,-3.268,0.000,0.000,0.000,0.000,0.000,0.000
1.6328,-3.894,-3.663,-3.534,-1.258,-1.760,-2.135,0.000,0.000,0.000,0.000,0.000,0.000
1.6819,-2.707,-3.321,-3.534,-1.261,-1.760,-0.948,0.000,0.000,0.000,0.000,0.000,0.000
1.7328,-3.392,-3.346,-3.534,-1.267,-1.760,-1.633,0.000,0.000,0.000,0.000,0.000,0.000
1.7819,-2.510,-3.047,-3.534,-1.276,-1.760,-0.751,0.000,0.000,0.000,0.000,0.000,0.000
1.8329,-0.916,-2.284,-2.284,-1.276,-1.760,0.843,0.000,0.000,0.000,0.000,0.000,0.000
1.8827,-1.787,-2.105,-2.284,-1.276,-1.760,-0.027,0.000,0.000,0.000,0.000,0.000,0.000
1.9327,-1.707,-1.963,-2.284,-1.278,-1.760,0.053,0.000,0.000,0.000,0.000,0.000,0.000
1.9827,-2.109,-2.015,-2.284,-1.280,-1.760,-0.349,0.000,0.000,0.000,0.000,0.000,0.000
2.0327,-0.587,-1.503,-1.503,-1.280,-1.760,1.173,0.000,0.000,0.000,0.000,0.000,0.000
2.0827,0.796,-0.680,-0.680,-1.280,-1.760,2.555,0.000,0.000,0.000,0.000,0.000,0.000
2.1329,0.975,-0.087,-0.087,-1.280,-1.760,2.735,0.000,0.000,0.000,0.000,0.000,0.000
2.1827,1.296,0.409,-0.087,-1.280,-1.760,3.056,0.000,0.000,0.000,0.000,0.000,0.000
