# controller=oneeuro_fc10_b005_d10
# filter_type=ONEEURO
# min_cutoff=1.0
# beta=0.05
# d_cutoff=1.0
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0474,-0.964,-9.212,-9.212,5.973,5.572,-6.536,0.000,0.000,0.000,0.000,0.000,0.000
0.0985,-1.640,-4.488,-4.488,5.972,5.572,-7.211,0.000,0.000,0.000,0.000,0.000,0.000
0.1485,-1.880,-2.910,-2.910,5.972,5.279,-7.158,0.000,0.000,0.000,0.000,0.000,0.000
0.1986,-3.128,-3.030,-2.910,5.967,5.572,-8.700,0.000,0.000,0.000,0.000,0.000,0.000
0.2476,-3.107,-3.068,-2.910,5.955,5.572,-8.678,0.000,0.000,0.000,0.000,0.000,0.000
0.2987,-1.889,-2.501,-2.910,5.932,5.279,-7.168,0.000,0.000,0.000,0.000,0.000,0.000
0.3485,-0.360,-1.464,-1.464,5.931,5.572,-5.932,0.000,0.000,0.000,0.000,0.000,0.000
0.3986,-0.360,-0.949,-0.949,5.931,5.279,-5.639,0.000,0.000,0.000,0.000,0.000,0.000
0.4486,-1.602,-1.216,-0.949,5.927,5.279,-6.881,0.000,0.000,0.000,0.000,0.000,0.000
0.4986,-1.829,-1.435,-0.949,5.918,5.279,-7.107,0.000,0.000,0.000,0.000,0.000,0.000
0.5485,-2.040,-1.623,-1.623,5.917,5.279,-7.318,0.000,0.000,0.000,0.000,0.000,0.000
0.5986,-2.858,-1.927,-1.623,5.913,5.572,-8.430,0.000,0.000,0.000,0.000,0.000,0.000
0.6486,-2.225,-2.000,-1.623,5.903,5.572,-7.797,0.000,0.000,0.000,0.000,0.000,0.000
0.6986,-1.873,-1.970,-1.623,5.884,5.572,-7.445,0.000,0.000,0.000,0.000,0.000,0.000
0.7485,-0.003,-1.349,-1.623,5.853,5.279,-5.282,0.000,0.000,0.000,0.000,0.000,0.000
0.7985,0.192,-0.807,-0.807,5.853,5.279,-5.086,0.000,0.000,0.000,0.000,0.000,0.000
0.8485,-0.174,-0.587,-0.807,5.849,5.572,-5.746,0.000,0.000,0.000,0.000,0.000,0.000
0.8985,0.065,-0.361,-0.807,5.840,5.572,-5.507,0.000,0.000,0.000,0.000,0.000,0.000
0.9485,-0.925,-0.532,-0.807,5.823,5.572,-6.497,0.000,0.000,0.000,0.000,0.000,0.000
0.9985,0.713,-0.116,-0.116,5.823,5.279,-4.565,0.000,0.000,0.000,0.000,0.000,0.000
1.0485,0.523,0.098,-0.116,5.820,5.572,-5.049,0.000,0.000,0.000,0.000,0.000,0.000
1.0987,0.523,0.238,-0.116,5.812,5.572,-5.049,0.000,0.000,0.000,0.000,0.000,0.000
1.1486,2.393,1.055,1.055,5.811,5.572,-3.179,0.000,0.000,0.000,0.000,0.000,0.000
1.1985,2.848,1.777,1.777,5.811,5.572,-2.724,0.000,0.000,0.000,0.000,0.000,0.000
1.2476,2.848,2.206,1.777,5.809,5.279,-2.431,0.000,0.000,0.000,0.000,0.000,0.000
1.2985,2.657,2.378,2.378,5.808,5.279,-2.622,0.000,0.000,0.000,0.000,-0.587,0.587
1.3487,1.921,2.224,2.378,5.807,5.279,-3.358,0.000,0.000,0.000,0.000,0.000,0.000
1.3987,1.921,2.131,2.378,5.802,5.572,-3.651,0.000,0.000,0.000,0.000,0.000,0.000
1.4485,2.174,2.143,2.378,5.793,5.572,-3.398,0.000,0.000,0.000,0.000,0.000,0.000
1.4985,2.267,2.179,2.378,5.779,5.279,-3.012,0.000,0.000,0.000,0.000,0.000,0.000
1.5486,4.189,2.875,2.378,5.760,5.279,-1.090,0.000,0.000,0.000,0.000,0.000,0.000
1.5986,5.460,3.914,3.914,5.759,5.279,0.181,0.000,0.000,0.000,0.000,-0.587,0.587
1.6485,5.460,4.552,4.552,5.759,5.572,-0.112,0.000,0.000,0.000,0.000,0.000,0.000
1.6976,5.430,4.906,4.552,5.759,5.279,0.152,0.000,0.000,0.000,0.000,0.000,0.000
1.7487,7.351,5.972,5.972,5.759,5.572,1.779,0.000,0.000,0.000,0.000,0.000,0.000
1.7987,5.766,5.891,5.972,5.759,5.279,0.487,0.000,0.000,0.000,0.000,0.000,0.000
1.8485,5.493,5.752,5.972,5.759,5.572,-0.079,0.000,0.000,0.000,0.000,0.000,0.000
1.8985,6.885,6.163,5.972,5.760,5.572,1.313,0.000,0.000,0.000,0.000,0.000,0.000
1.9476,6.885,6.423,5.972,5.761,5.279,1.606,0.000,0.000,0.000,0.000,0.000,0.000
1.9987,8.191,7.111,7.111,5.761,5.572,2.619,0.000,0.000,0.000,0.000,0.000,0.000
2.0485,6.369,6.862,7.111,5.761,5.279,1.090,0.000,0.000,0.000,0.000,0.000,0.000
2.0985,6.369,6.716,7.111,5.763,5.572,0.797,0.000,0.000,0.000,0.000,0.000,0.000
2.1475,5.987,6.531,6.531,5.763,5.572,0.415,0.000,0.000,0.000,0.000,0.000,0.000
2.1987,5.827,6.349,6.531,5.764,5.279,0.548,0.000,0.000,0.000,0.000,0.000,0.000
2.2485,5.111,5.976,5.976,5.764,5.279,-0.168,0.000,0.000,0.000,0.000,0.000,0.000
2.2977,5.111,5.700,5.976,5.764,5.572,-0.461,0.000,0.000,0.000,0.000,0.000,0.000
2.3487,5.852,5.745,5.976,5.764,5.572,0.280,0.000,0.000,0.000,0.000,0.000,0.000
2.3985,5.852,5.774,5.976,5.765,5.572,0.280,0.000,0.000,0.000,0.000,0.000,0.000
2.4485,4.072,5.209,5.209,5.765,5.572,-1.500,0.000,0.000,0.000,0.000,0.000,0.000
2.4985,2.098,3.942,3.942,5.764,5.572,-3.473,0.000,0.000,0.000,0.000,0.000,0.000
2.5485,0.351,2.274,2.274,5.764,5.572,-5.221,0.000,0.000,0.000,0.000,0.000,0.000
2.5976,0.351,1.374,1.374,5.764,5.572,-5.221,0.000,0.000,0.000,0.000,0.000,0.000
