# controller=oneeuro_fc10_b02_d10
# filter_type=ONEEURO
# min_cutoff=1.0
# beta=0.2
# d_cutoff=1.0
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0483,18.320,16.330,16.330,3.608,3.226,15.095,0.000,0.000,0.000,0.000,0.000,0.000
0.0984,19.928,19.049,19.049,3.609,3.226,16.702,0.000,0.000,0.000,0.000,0.000,0.000
0.1494,19.522,19.389,19.049,3.617,3.226,16.296,0.000,0.000,0.000,0.000,0.000,0.000
0.1984,20.393,20.092,20.092,3.619,3.226,17.167,0.000,0.000,0.000,0.000,0.000,0.000
0.2485,18.711,19.278,19.278,3.620,3.226,15.485,0.000,0.000,0.000,0.000,-0.587,0.587
0.2984,18.165,18.772,18.772,3.621,3.226,14.939,0.000,0.000,0.000,0.000,0.000,0.000
0.3485,19.336,19.036,18.772,3.629,3.226,16.110,0.000,0.000,0.000,0.000,0.000,0.000
0.3986,20.085,19.575,19.575,3.630,3.226,16.860,0.000,0.000,0.000,0.000,0.000,0.000
0.4484,20.214,19.906,19.575,3.639,3.226,16.988,0.000,0.000,0.000,0.000,0.000,0.000
0.4985,18.018,19.444,19.575,3.660,3.226,14.793,0.000,0.000,0.000,0.000,0.000,0.000
0.5484,18.110,18.891,18.891,3.662,3.226,14.884,0.000,0.000,0.000,0.000,0.000,0.000
0.5985,19.516,19.078,18.891,3.670,3.226,16.290,0.000,0.000,0.000,0.000,0.000,0.000
0.6485,21.331,20.149,20.149,3.671,3.226,18.106,0.000,0.000,0.000,0.000,0.000,0.000
0.6985,20.512,20.318,20.149,3.680,3.226,17.286,0.000,0.000,0.000,0.000,0.000,0.000
0.7484,21.591,20.991,20.991,3.681,3.226,18.365,0.000,0.000,0.000,0.000,0.000,0.000
0.7985,19.311,20.491,20.491,3.682,3.226,16.085,0.000,0.000,0.000,0.000,0.000,0.000
0.8485,18.805,19.776,19.776,3.683,3.226,15.579,0.000,0.000,0.000,0.000,0.000,0.000
0.8985,20.437,19.977,19.776,3.692,3.226,17.211,0.000,0.000,0.000,0.000,0.000,0.000
0.9485,20.121,20.015,19.776,3.714,3.226,16.895,0.000,0.000,0.000,0.000,0.000,0.000
0.9987,21.864,20.855,20.855,3.715,3.226,18.638,0.000,0.000,0.000,0.000,0.000,0.000
1.0485,19.211,20.373,20.855,3.724,3.226,15.985,0.000,0.000,0.000,0.000,0.000,0.000
1.0985,19.898,20.208,20.208,3.725,3.226,16.672,0.000,0.000,0.000,0.000,0.000,0.000
1.1485,21.864,20.857,20.857,3.727,3.226,18.638,0.000,0.000,0.000,0.000,0.000,0.000
1.1985,20.019,20.657,20.857,3.736,3.226,16.793,0.000,0.000,0.000,0.000,0.000,0.000
1.2485,20.822,20.701,20.857,3.759,3.226,17.596,0.000,0.000,0.000,0.000,0.000,0.000
1.2985,20.713,20.704,20.857,3.803,3.226,17.487,0.000,0.000,0.000,0.000,0.000,0.000
1.3485,19.897,20.426,20.857,3.872,3.226,16.671,0.000,0.000,0.000,0.000,0.000,0.000
1.3985,20.903,20.545,20.857,3.971,3.226,17.677,0.000,0.000,0.000,0.000,0.000,0.000
1.4485,20.388,20.502,20.857,4.102,3.226,17.163,0.000,0.000,0.000,0.000,0.000,0.000
1.4985,18.585,19.575,19.575,4.104,3.226,15.359,0.000,0.000,0.000,0.000,0.000,0.000
1.5486,20.343,19.850,19.575,4.112,3.226,17.117,0.000,0.000,0.000,0.000,0.000,0.000
1.5985,18.054,18.935,18.935,4.113,3.519,14.535,0.000,0.000,0.000,0.000,0.000,0.000
1.6486,19.775,19.254,18.935,4.121,3.812,15.963,0.000,0.000,0.000,0.000,0.000,0.000
1.6985,20.223,19.520,19.520,4.122,3.812,16.411,0.000,0.000,0.000,0.000,0.000,0.000
1.7485,18.689,19.237,19.520,4.130,3.812,14.877,0.000,0.000,0.000,0.000,0.000,0.000
1.7986,19.385,19.281,19.520,4.151,3.812,15.572,0.000,0.000,0.000,0.000,0.000,0.000
1.8486,20.721,19.856,19.520,4.190,3.812,16.908,0.000,0.000,0.000,0.000,0.000,0.000
1.8985,21.993,21.031,21.031,4.192,3.812,18.180,0.000,0.000,0.000,0.000,0.000,0.000
1.9486,19.948,20.593,21.031,4.200,3.812,16.136,0.000,0.000,0.000,0.000,0.000,0.000
1.9985,18.290,19.623,19.623,4.202,3.812,14.478,0.000,0.000,0.000,0.000,0.000,0.000
2.0486,18.633,19.147,19.623,4.210,3.812,14.821,0.000,0.000,0.000,0.000,0.000,0.000
2.0986,19.913,19.419,19.623,4.231,3.812,16.101,0.000,0.000,0.000,0.000,0.000,0.000
2.1486,20.254,19.651,19.623,4.270,3.812,16.441,0.000,0.000,0.000,0.000,0.000,0.000
2.1987,19.349,19.573,19.623,4.332,3.812,15.537,0.000,0.000,0.000,0.000,0.000,0.000
2.2485,19.458,19.541,19.623,4.421,3.812,15.645,0.000,0.000,0.000,0.000,0.000,0.000
2.2987,21.209,20.265,20.265,4.423,3.812,17.396,0.000,0.000,0.000,0.000,0.000,0.000
2.3487,21.280,20.763,20.265,4.431,3.812,17.468,0.000,0.000,0.000,0.000,0.000,0.000
2.3987,18.647,20.101,20.265,4.453,3.812,14.834,0.000,0.000,0.000,0.000,0.000,0.000
2.4485,20.894,20.345,20.265,4.493,3.519,17.375,0.000,0.000,0.000,0.000,0.000,0.000
