# controller=oneeuro_fc10_b02_d10
# filter_type=ONEEURO
# min_cutoff=1.0
# beta=0.2
# d_cutoff=1.0
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0481,-60.000,-56.897,-56.897,-0.199,-0.587,-59.413,0.000,0.000,0.000,0.000,0.000,0.000
0.0979,-59.700,-59.523,-59.523,-0.203,-0.587,-59.113,0.000,0.000,0.000,0.000,0.000,0.000
0.1479,-59.400,-59.410,-59.523,-0.235,-0.587,-58.813,0.000,0.000,0.000,0.000,0.000,0.000
0.1980,-59.100,-59.132,-59.523,-0.316,-0.880,-58.220,0.000,0.000,0.000,0.000,0.000,0.000
0.2480,-58.800,-58.844,-58.844,-0.320,-0.587,-58.213,0.000,0.000,0.000,0.000,0.000,0.000
0.2981,-58.500,-58.558,-58.844,-0.351,-0.587,-57.913,0.000,0.000,0.000,0.000,0.000,0.000
0.3480,-58.200,-58.276,-58.276,-0.355,-0.587,-57.613,0.000,0.000,0.000,0.000,0.000,0.000
0.3979,-57.900,-57.999,-58.276,-0.386,-0.587,-57.313,0.000,0.000,0.000,0.000,0.000,0.000
0.4479,-57.600,-57.729,-57.729,-0.390,-0.587,-57.013,0.000,0.000,0.000,0.000,0.000,0.000
0.4981,-57.300,-57.469,-57.729,-0.420,-0.587,-56.713,0.000,0.000,0.000,0.000,0.000,0.000
0.5480,-57.000,-57.223,-57.223,-0.425,-0.587,-56.413,0.000,0.000,0.000,0.000,0.000,0.000
0.5979,-56.700,-56.998,-57.223,-0.455,-0.587,-56.113,0.000,0.000,0.000,0.000,0.000,0.000
0.6480,-56.400,-56.807,-57.223,-0.532,-0.587,-55.813,0.000,0.000,0.000,0.000,0.000,0.000
0.6980,-56.100,-56.602,-56.602,-0.537,-0.587,-55.513,0.000,0.000,0.000,0.000,0.000,0.000
0.7480,-55.800,-56.293,-56.602,-0.566,-0.587,-55.213,0.000,0.000,0.000,0.000,0.000,0.000
0.7980,-55.500,-55.943,-55.943,-0.570,-0.587,-54.913,0.000,0.000,0.000,0.000,0.000,0.000
0.8480,-55.200,-55.591,-55.943,-0.599,-0.587,-54.613,0.000,0.000,0.000,0.000,0.000,0.000
0.8980,-54.900,-55.251,-55.251,-0.604,-0.880,-54.020,0.000,0.000,0.000,0.000,0.000,0.000
0.9481,-54.600,-54.925,-55.251,-0.632,-0.880,-53.720,0.000,0.000,0.000,0.000,0.000,0.000
0.9980,-54.300,-54.608,-54.608,-0.636,-0.880,-53.420,0.000,0.000,0.000,0.000,0.000,0.000
1.0480,-54.000,-54.298,-54.608,-0.665,-0.880,-53.120,0.000,0.000,0.000,0.000,0.000,0.000
1.0981,-53.700,-53.992,-53.992,-0.669,-0.880,-52.820,0.000,0.000,0.000,0.000,0.000,0.000
1.1480,-53.400,-53.689,-53.992,-0.697,-0.880,-52.520,0.000,0.000,0.000,0.000,0.000,0.000
1.1979,-53.100,-53.387,-53.387,-0.701,-0.880,-52.220,0.000,0.000,0.000,0.000,0.000,0.000
1.2480,-52.800,-53.086,-53.387,-0.729,-0.880,-51.920,0.000,0.000,0.000,0.000,0.000,0.000
1.2980,-52.500,-52.786,-52.786,-0.733,-0.880,-51.620,0.000,0.000,0.000,0.000,0.000,0.000
1.3480,-52.200,-52.486,-52.786,-0.760,-0.880,-51.320,0.000,0.000,0.000,0.000,0.000,0.000
1.3981,-51.900,-52.186,-52.186,-0.764,-0.880,-51.020,0.000,0.000,0.000,0.000,0.000,0.000
1.4480,-51.600,-51.886,-52.186,-0.791,-0.880,-50.720,0.000,0.000,0.000,0.000,0.000,0.000
1.4980,-51.300,-51.586,-51.586,-0.795,-0.880,-50.420,0.000,0.000,0.000,0.000,0.000,0.000
1.5480,-51.000,-51.286,-51.586,-0.822,-0.880,-50.120,0.000,0.000,0.000,0.000,0.000,0.000
1.5982,-50.700,-50.986,-50.986,-0.825,-0.880,-49.820,0.000,0.000,0.000,0.000,0.000,0.000
1.6490,-50.400,-50.686,-50.986,-0.852,-0.880,-49.520,0.000,0.000,0.000,0.000,0.000,0.000
1.6980,-50.100,-50.386,-50.386,-0.856,-0.880,-49.220,0.000,0.000,0.000,0.000,0.000,0.000
1.7480,-49.800,-50.086,-50.386,-0.882,-0.880,-48.920,0.000,0.000,0.000,0.000,0.000,0.000
1.7980,-49.500,-49.786,-49.786,-0.885,-1.173,-48.327,0.000,0.000,0.000,0.000,0.000,0.000
