# controller=oneeuro_fc10_b02_d10
# filter_type=ONEEURO
# min_cutoff=1.0
# beta=0.2
# d_cutoff=1.0
# motion_profile=quintic
# motion_time=2.5
time_s,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,pan_error,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt,tilt_error
0.0484,0.000,3.194,3.194,-0.213,-0.587,0.587,0.000,0.000,0.000,0.000,0.000,0.000
0.0984,1.000,1.145,1.145,-0.213,-0.587,1.586,0.000,0.000,0.000,0.000,0.000,0.000
0.1484,1.999,1.925,1.925,-0.213,-0.587,2.586,0.000,0.000,0.000,0.000,0.000,0.000
0.1984,2.997,2.875,2.875,-0.212,-0.587,3.584,0.000,0.000,0.000,0.000,0.000,0.000
0.2484,3.993,3.826,3.826,-0.212,-0.587,4.580,0.000,0.000,0.000,0.000,0.000,0.000
0.2984,4.987,4.757,4.757,-0.212,-0.587,5.573,0.000,0.000,0.000,0.000,0.000,0.000
0.3484,5.978,5.655,5.655,-0.211,-0.587,6.564,0.000,0.000,0.000,0.000,0.000,0.000
0.3985,6.964,6.497,6.497,-0.211,-0.587,7.551,0.000,0.000,0.000,0.000,0.000,0.000
0.4485,7.947,7.225,7.225,-0.210,-0.587,8.533,0.000,0.000,0.000,0.000,0.000,0.000
0.4985,8.924,7.649,7.225,-0.206,-0.587,9.511,0.000,0.000,0.000,0.000,0.000,0.000
0.5485,9.896,8.759,8.759,-0.205,-0.587,10.483,0.000,0.000,0.000,0.000,0.000,0.000
0.5985,10.862,10.003,10.003,-0.205,-0.587,11.448,0.000,0.000,0.000,0.000,0.000,0.000
0.6485,11.821,11.153,11.153,-0.204,-0.587,12.407,0.000,0.000,0.000,0.000,0.000,0.000
0.6984,12.772,12.209,12.209,-0.203,-0.587,13.359,0.000,0.000,0.000,0.000,0.000,0.000
0.7485,13.716,13.206,13.206,-0.202,-0.587,14.302,0.000,0.000,0.000,0.000,0.000,0.000
0.7986,14.651,14.168,14.168,-0.201,-0.587,15.237,0.000,0.000,0.000,0.000,0.000,0.000
0.8485,15.577,15.110,15.110,-0.199,-0.587,16.163,0.000,0.000,0.000,0.000,0.000,0.000
0.8984,16.493,16.036,16.036,-0.198,-0.587,17.079,0.000,0.000,0.000,0.000,0.000,0.000
0.9485,17.399,16.948,16.948,-0.197,-0.587,17.985,0.000,0.000,0.000,0.000,0.000,0.000
0.9985,18.294,17.848,17.848,-0.195,-0.587,18.880,0.000,0.000,0.000,0.000,0.000,0.000
1.0485,19.177,18.736,18.736,-0.194,-0.587,19.764,0.000,0.000,0.000,0.000,0.000,0.000
1.0985,20.049,19.611,19.611,-0.192,-0.587,20.635,0.000,0.000,0.000,0.000,0.000,0.000
1.1485,20.907,20.473,20.473,-0.191,-0.587,21.494,0.000,0.000,0.000,0.000,0.000,0.000
1.1986,21.753,21.323,21.323,-0.189,-0.587,22.340,0.000,0.000,0.000,0.000,0.000,0.000
1.2485,22.586,22.158,22.158,-0.187,-0.587,23.172,0.000,0.000,0.000,0.000,0.000,0.000
1.2984,23.404,22.980,22.980,-0.186,-0.587,23.990,0.000,0.000,0.000,0.000,0.000,0.000
1.3485,24.207,23.787,23.787,-0.184,-0.587,24.794,0.000,0.000,0.000,0.000,0.000,0.000
1.3985,24.996,24.579,24.579,-0.182,-0.587,25.582,0.000,0.000,0.000,0.000,0.000,0.000
1.4487,25.769,25.355,25.355,-0.180,-0.587,26.355,0.000,0.000,0.000,0.000,0.000,0.000
1.4986,26.525,26.115,26.115,-0.178,-0.587,27.112,0.000,0.000,0.000,0.000,0.000,0.000
1.5485,27.266,26.859,26.859,-0.176,-0.587,27.852,0.000,0.000,0.000,0.000,0.000,0.000
1.5986,27.989,27.587,27.587,-0.174,-0.587,28.575,0.000,0.000,0.000,0.000,0.000,0.000
1.6486,28.694,28.296,28.296,-0.171,-0.587,29.281,0.000,0.000,0.000,0.000,0.000,0.000
1.6987,29.382,28.988,28.988,-0.169,-0.587,29.968,0.000,0.000,0.000,0.000,0.000,0.000
1.7485,30.051,29.662,29.662,-0.167,-0.587,30.638,0.000,0.000,0.000,0.000,0.000,0.000
1.7986,30.702,30.318,30.318,-0.164,-0.587,31.288,0.000,0.000,0.000,0.000,0.000,0.000
1.8486,31.333,30.954,30.954,-0.162,-0.587,31.920,0.000,0.000,0.000,0.000,0.000,0.000
1.8987,31.945,31.571,31.571,-0.160,-0.587,32.531,0.000,0.000,0.000,0.000,0.000,0.000
1.9486,32.537,32.168,32.168,-0.157,-0.587,33.123,0.000,0.000,0.000,0.000,0.000,0.000
1.9986,33.108,32.745,32.745,-0.154,-0.587,33.695,0.000,0.000,0.000,0.000,0.000,0.000
2.0485,33.659,33.302,33.302,-0.152,-0.587,34.245,0.000,0.000,0.000,0.000,0.000,0.000
2.0985,34.189,33.838,33.838,-0.149,-0.587,34.775,0.000,0.000,0.000,0.000,0.000,0.000
2.1486,34.697,34.353,34.353,-0.147,-0.587,35.283,0.000,0.000,0.000,0.000,0.000,0.000
2.1986,35.184,34.846,34.353,-0.128,-0.587,35.770,0.000,0.000,0.000,0.000,0.000,0.000
2.2487,35.648,35.318,35.318,-0.126,-0.587,36.235,0.000,0.000,0.000,0.000,0.000,0.000
2.2986,36.091,35.768,35.318,-0.107,-0.587,36.677,0.000,0.000,0.000,0.000,0.000,0.000
2.3486,36.511,36.196,36.196,-0.104,-0.587,37.097,0.000,0.000,0.000,0.000,0.000,0.000
2.3985,36.908,36.601,36.196,-0.085,-0.587,37.494,0.000,0.000,0.000,0.000,0.000,0.000
2.4485,37.282,36.984,36.984,-0.082,-0.587,37.868,0.000,0.000,0.000,0.000,0.000,0.000
2.4986,37.632,37.344,36.984,-0.063,-0.587,38.219,0.000,0.000,0.000,0.000,0.000,0.000
2.5484,37.959,37.681,37.681,-0.060,-0.587,38.546,0.000,0.000,0.000,0.000,0.000,0.000
2.5986,38.263,37.995,37.681,-0.040,-0.587,38.849,0.000,0.000,0.000,0.000,0.000,0.000
2.6487,38.542,38.285,38.285,-0.037,-0.587,39.129,0.000,0.000,0.000,0.000,0.000,0.000
2.6986,38.798,38.552,38.285,-0.017,-0.587,39.384,0.000,0.000,0.000,0.000,0.000,0.000
2.7487,39.029,38.796,38.796,-0.014,-0.587,39.615,0.000,0.000,0.000,0.000,0.000,0.000
2.7986,39.236,39.016,38.796,0.006,-0.587,39.822,0.000,0.000,0.000,0.000,0.000,0.000
2.8486,39.418,39.213,38.796,0.059,-0.587,40.004,0.000,0.000,0.000,0.000,0.000,0.000
2.8986,39.576,39.386,39.386,0.062,-0.587,40.162,0.000,0.000,0.000,0.000,0.000,0.000
2.9486,39.709,39.536,39.386,0.083,-0.587,40.295,0.000,0.000,0.000,0.000,0.000,0.000
2.9986,39.817,39.662,39.386,0.137,-0.587,40.403,0.000,0.000,0.000,0.000,0.293,-0.293
3.0486,39.900,39.766,39.386,0.237,-0.587,40.486,0.000,0.000,0.000,0.000,0.000,0.000
3.0986,39.958,39.846,39.386,0.396,-0.587,40.545,0.000,0.000,0.000,0.000,0.000,0.000
3.1486,39.991,39.904,39.904,0.399,-0.293,40.285,0.000,0.000,0.000,0.000,0.000,0.000
3.1986,40.000,39.940,39.904,0.420,0.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000
3.2486,39.983,39.956,39.904,0.474,-0.293,40.276,0.000,0.000,0.000,0.000,0.000,0.000
3.2986,39.941,39.951,39.904,0.575,-0.293,40.235,0.000,0.000,0.000,0.000,0.000,0.000
3.3486,39.875,39.928,39.904,0.734,0.000,39.875,0.000,0.000,0.000,0.000,0.000,0.000
3.3986,39.783,39.890,39.904,0.962,0.000,39.783,0.000,0.000,0.000,0.000,0.000,0.000
3.4486,39.667,39.832,39.904,1.265,0.293,39.373,0.000,0.000,0.000,0.000,0.000,0.000
3.4986,39.525,39.739,39.904,1.651,0.587,38.939,0.000,0.000,0.000,0.000,0.000,0.000
3.5487,39.359,39.610,39.904,2.123,0.880,38.480,0.000,0.000,0.000,0.000,0.000,0.000
3.5986,39.169,39.444,39.904,2.684,1.466,37.703,0.000,0.000,0.000,0.000,0.000,0.000
3.6487,38.954,39.245,39.245,2.687,2.346,36.608,0.000,0.000,0.000,0.000,0.000,0.000
3.6988,38.715,39.017,39.245,2.706,2.346,36.369,0.000,0.000,0.000,0.000,0.000,0.000
3.7488,38.451,38.763,39.245,2.756,2.346,36.105,0.000,0.000,0.000,0.000,0.000,0.000
3.7988,38.163,38.483,38.483,2.759,2.346,35.817,0.000,0.000,0.000,0.000,0.000,0.000
3.8488,37.852,38.178,38.483,2.778,2.346,35.506,0.000,0.000,0.000,0.000,0.000,0.000
3.8986,37.517,37.850,37.850,2.781,2.346,35.171,0.000,0.000,0.000,0.000,0.000,0.000
3.9486,37.158,37.499,37.850,2.799,2.346,34.812,0.000,0.000,0.000,0.000,0.000,0.000
3.9987,36.777,37.125,37.125,2.802,2.346,34.431,0.000,0.000,0.000,0.000,0.000,0.000
4.0488,36.372,36.727,37.125,2.820,2.346,34.026,0.000,0.000,0.000,0.000,0.000,0.000
4.0987,35.944,36.306,36.306,2.822,2.346,33.598,0.000,0.000,0.000,0.000,0.000,0.000
4.1486,35.494,35.863,36.306,2.840,2.346,33.148,0.000,0.000,0.000,0.000,0.000,0.000
4.1987,35.022,35.397,35.397,2.842,2.346,32.676,0.000,0.000,0.000,0.000,0.293,-0.293
4.2487,34.528,34.909,35.397,2.859,2.346,32.182,0.000,0.000,0.000,0.000,0.000,0.000
4.2987,34.013,34.399,34.399,2.862,2.346,31.667,0.000,0.000,0.000,0.000,0.000,0.000
4.3486,33.476,33.868,33.868,2.864,2.346,31.130,0.000,0.000,0.000,0.000,0.000,0.000
4.3986,32.918,33.315,33.315,2.867,2.346,30.572,0.000,0.000,0.000,0.000,0.000,0.000
4.4486,32.340,32.741,32.741,2.869,2.346,29.994,0.000,0.000,0.000,0.000,0.000,0.000
4.4988,31.741,32.148,32.148,2.871,2.346,29.395,0.000,0.000,0.000,0.000,0.000,0.000
4.5487,31.123,31.534,31.534,2.873,2.346,28.777,0.000,0.000,0.000,0.000,0.000,0.000
4.5988,30.485,30.900,30.900,2.876,2.346,28.139,0.000,0.000,0.000,0.000,0.000,0.000
4.6488,29.828,30.247,30.247,2.878,2.346,27.482,0.000,0.000,0.000,0.000,0.000,0.000
4.6987,29.153,29.575,29.575,2.880,2.346,26.807,0.000,0.000,0.000,0.000,0.000,0.000
4.7488,28.459,28.885,28.885,2.882,2.346,26.113,0.000,0.000,0.000,0.000,0.000,0.000
4.7988,27.747,28.177,28.177,2.884,2.346,25.401,0.000,0.000,0.000,0.000,0.000,0.000
4.8487,27.019,27.451,27.451,2.886,2.346,24.672,0.000,0.000,0.000,0.000,0.000,0.000
4.8987,26.273,26.708,26.708,2.888,2.346,23.927,0.000,0.000,0.000,0.000,0.000,0.000
4.9487,25.511,25.949,25.949,2.889,2.346,23.165,0.000,0.000,0.000,0.000,0.000,0.000
4.9987,24.732,25.173,25.173,2.891,2.346,22.386,0.000,0.000,0.000,0.000,0.000,0.000
5.0487,23.939,24.382,24.382,2.893,2.346,21.593,0.000,0.000,0.000,0.000,0.000,0.000
5.0987,23.130,23.576,23.576,2.894,2.346,20.784,0.000,0.000,0.000,0.000,0.000,0.000
5.1488,22.307,22.755,22.755,2.896,2.346,19.961,0.000,0.000,0.000,0.000,0.000,0.000
5.1987,21.470,21.920,21.920,2.897,2.346,19.124,0.000,0.000,0.000,0.000,0.000,0.000
5.2487,20.620,21.072,21.072,2.899,2.346,18.274,0.000,0.000,0.000,0.000,0.000,0.000
5.2987,19.757,20.210,20.210,2.900,2.346,17.411,0.000,0.000,0.000,0.000,0.000,0.000
5.3487,18.881,19.337,19.337,2.901,2.346,16.535,0.000,0.000,0.000,0.000,0.000,0.000
5.3987,17.994,18.451,18.451,2.903,2.346,15.648,0.000,0.000,0.000,0.000,0.000,0.000
5.4487,17.095,17.553,17.553,2.904,2.346,14.749,0.000,0.000,0.000,0.000,0.000,0.000
5.4987,16.186,16.645,16.645,2.905,2.346,13.840,0.000,0.000,0.000,0.000,0.000,0.000
5.5487,15.266,15.727,15.727,2.906,1.760,13.507,0.000,0.000,0.000,0.000,0.000,0.000
5.5987,14.337,14.799,14.799,2.907,1.760,12.578,0.000,0.000,0.000,0.000,0.000,0.000
5.6487,13.400,13.862,13.862,2.908,2.346,11.053,0.000,0.000,0.000,0.000,0.000,0.000
5.6987,12.453,12.917,12.917,2.908,2.346,10.107,0.000,0.000,0.000,0.000,0.000,0.000
5.7487,11.499,11.964,11.964,2.909,2.346,9.153,0.000,0.000,0.000,0.000,0.000,0.000
5.7988,10.538,11.003,11.003,2.910,2.346,8.192,0.000,0.000,0.000,0.000,0.000,0.000
5.8487,9.570,10.036,10.036,2.910,2.346,7.224,0.000,0.000,0.000,0.000,0.000,0.000
5.8990,8.596,9.062,9.062,2.911,2.346,6.250,0.000,0.000,0.000,0.000,0.000,0.000
5.9488,7.617,8.083,8.083,2.911,2.346,5.271,0.000,0.000,0.000,0.000,0.000,0.000
5.9989,6.633,7.100,7.100,2.911,2.346,4.287,0.000,0.000,0.000,0.000,0.000,0.000
6.0489,5.645,6.112,6.112,2.912,2.346,3.299,0.000,0.000,0.000,0.000,0.000,0.000
6.0988,4.653,5.120,5.120,2.912,2.346,2.307,0.000,0.000,0.000,0.000,0.000,0.000
6.1488,3.659,4.126,4.126,2.912,2.346,1.313,0.000,0.000,0.000,0.000,0.000,0.000
6.1988,2.662,3.129,3.129,2.912,2.346,0.316,0.000,0.000,0.000,0.000,0.000,0.000
6.2488,1.663,2.130,2.130,2.912,2.346,-0.683,0.000,0.000,0.000,0.000,0.000,0.000
6.2989,0.664,1.130,1.130,2.912,2.346,-1.682,0.000,0.000,0.000,0.000,0.000,0.000
6.3487,-0.336,0.130,0.130,2.912,2.346,-2.682,0.000,0.000,0.000,0.000,0.000,0.000
6.3989,-1.336,-0.871,-0.871,2.911,2.346,-3.682,0.000,0.000,0.000,0.000,0.000,0.000
6.4489,-2.335,-1.870,-1.870,2.911,2.346,-4.681,0.000,0.000,0.000,0.000,-0.587,0.587
